key,name,form,brand,source_type,source_url,source_date,fdc_id,status
"peanuts","Peanuts (Groundnuts)",,,,,,,
"tiger-nuts","Tiger Nuts (Chufa)",,,,,,,
"acorns","Acorns (processed)",,,,,,,
"ginkgo-nuts","Ginkgo Nuts",,,,,,,
"dates-medjool","Medjool Dates",,,,,,,
"dates-deglet-noor","Deglet Noor Dates",,,,,,,
"dates-mazafati","Mazafati Dates (Iranian Black Dates)",,,,,,,
"dates-kimia","Kimia Dates (Iranian Premium)",,,,,,,
"khajoor-paste","Date Paste",,,,,,,
"figs-dried","Dried Figs",,,,,,,
"raisins","Raisins",,,,,,,
"jaggery-gur","Jaggery (Gur)",,,,,,,
"ghee","Ghee (Clarified Butter)",,,,,,,
"amul-milk","Amul Whole Milk",,,,,,,
"amul-butter","Amul Butter",,,,,,,
"sunflower-oil","Sunflower Refined Oil",,,,,,,
"curd-yogurt","Curd (Plain Yogurt)",,,,,,,
"amul-curd","Amul Curd (Commercial)",,,,,,,
"milky-mist-curd","Milky Mist Curd (Commercial)",,,,,,,
"lemon-water","Lemon Water (Fresh)",,,,,,,
"orange-juice","Orange Juice (Fresh Squeezed)",,,,,,,
"instant-coffee","Instant Coffee Powder",,,,,,,
"white-sugar","White Sugar (Refined)",,,,,,,
"brown-sugar","Brown Sugar",,,,,,,
"coconut-sugar","Coconut Sugar",,,,,,,
"stevia","Stevia Extract",,,,,,,
"maple-syrup","Pure Maple Syrup",,,,,,,
"honey","Honey",,,,,,,
"coconut-palm-sugar","Coconut Palm Sugar",,,,,,,
"vanhouten-dark-chocolate","Van Houten Dark Chocolate 46.5%",,,,,,,
"vanhouten-cocoa-powder","Van Houten Cocoa Powder (Unsweetened)",,,,,,,
"vanhouten-dutch-cocoa","Van Houten Dutch-Process Cocoa",,,,,,,
"vanhouten-drinking-chocolate","Van Houten Drinking Chocolate (Sweetened)",,,,,,,
"vanhouten-milk-chocolate","Van Houten Milk Chocolate",,,,,,,
"amul-dark-chocolate-55","Amul Dark Chocolate 55% (Commercial)",,,,,,,
"amul-dark-chocolate-70","Amul Dark Chocolate 70% (Commercial)",,,,,,,
"amul-dark-chocolate-85","Amul Dark Chocolate 85% (Commercial)",,,,,,,
"amul-dark-chocolate-90","Amul Dark Chocolate 90% (Commercial)",,,,,,,
"dark-chocolate-70","Dark Chocolate 70% Cocoa (Pure)",,,,,,,
"dark-chocolate-70-sweetened","Dark Chocolate 70% (Sweetened)",,,,,,,
"cocoa-powder","Unsweetened Cocoa Powder",,,,,,,
"white-chocolate","White Chocolate",,,,,,,
"vanilla-extract","Pure Vanilla Extract",,,,,,,
"baking-powder","Baking Powder",,,,,,,
"baking-soda","Baking Soda",,,,,,,
"eggs","Whole Eggs",,,,,,,
"cream-cheese","Cream Cheese",,,,,,,
"powdered-sugar","Powdered Sugar (Icing Sugar)",,,,,,,
"coconut-fresh","Fresh Coconut",,,,,,,
"coconut-desiccated","Desiccated Coconut",,,,,,,
"coconut-oil","Coconut Oil",,,,,,,
"milk-whole","Whole Milk",,,,,,,
"almond-milk","Almond Milk (unsweetened)",,,,,,,
"coconut-milk","Coconut Milk",,,,,,,
"ghee","Ghee (Clarified Butter)",,,,,,,
"cinnamon","Cinnamon Powder",,,,,,,
"cardamom","Cardamom",,,,,,,
"vanilla-extract","Vanilla Extract",,,,,,,
"cocoa-powder","Cocoa Powder (unsweetened)",,,,,,,
"dark-chocolate","Dark Chocolate (70-85% Pure)",,,,,,,
"red-chili-powder","Red Chili Powder",,,,,,,
"chili-flakes","Chilli Flakes (Crushed Red Pepper)",,,,,,,
"oregano-dried","Oregano (Dried)",,,,,,,
"coriander-seeds","Coriander Seeds",,,,,,,
"cumin-seeds","Cumin Seeds",,,,,,,
"turmeric","Turmeric Powder",,,,,,,
"fenugreek-seeds","Fenugreek Seeds",,,,,,,
"mustard-seeds","Mustard Seeds",,,,,,,
"hing-asafoetida","Hing (Asafoetida)",,,,,,,
"curry-leaves","Curry Leaves (dried)",,,,,,,
"chickpeas","Chickpeas (cooked)",,,,,,,
"black-gram-urad","Black Gram (Urad Dal)",,,,,,,
"green-gram-moong","Green Gram (Moong Dal)",,,,,,,
"avocado","Avocado",,,,,,,
"strawberries","Strawberries",,,,,,,
"blueberries","Blueberries",,,,,,,
"cranberries-dried","Dried Cranberries (Unsweetened)",,,,,,,
"cranberries-dried-sweetened","Dried Cranberries (Sweetened)",,,,,,,
"blueberries-dried","Dried Blueberries (Unsweetened)",,,,,,,
"blueberries-dried-sweetened","Dried Blueberries (Sweetened)",,,,,,,
"black-raisins","Black Raisins (Kala Manuka)",,,,,,,
"turmeric-powder","Turmeric Powder (Haldi)",,,,,,,
"salt","Table Salt",,,,,,,
"cinnamon-powder","Cinnamon Powder (Dalchini)",,,,,,,
"cardamom-powder","Cardamom Powder (Elaichi)",,,,,,,
"ginger-powder","Dried Ginger Powder (Sonth)",,,,,,,
"garlic","Fresh Garlic (Lehsun)",,,,,,,
"green-chillies","Green Chillies (Hari Mirch)",,,,,,,
"onion","Yellow Onion (Pyaz)",,,,,,,
"tomato","Fresh Tomatoes",,,,,,,
"curry-leaves","Fresh Curry Leaves (Kadi Patta)",,,,,,,
"haldiram-aloo-bhujiya","Haldiram Aloo Bhujiya",,,,,,,
"fine-sev","Fine Sev (Namkeen)",,,,,,,
"haldiram-sev","Haldiram Sev (Commercial)",,,,,,,
"garden-sev","Garden Sev (Commercial)",,,,,,,
"chana-dal","Chana Dal (Split Bengal Gram)",,,,,,,
"sattu","Sattu (Roasted Chickpea Flour)",,,,,,,
"whole-wheat-flour","Whole Wheat Flour",,,,,,,
"all-purpose-flour","All-Purpose Flour (Maida)",,,,,,,
"almond-flour","Almond Flour",,,,,,,
"coconut-flour","Coconut Flour",,,,,,,
"besan-chickpea-flour","Besan (Chickpea Flour)",,,,,,,
"sattu","Sattu (Roasted Chickpea Flour)",,,,,,,
"peanut-butter","Peanut Butter (Natural)",,,,,,,
"almond-butter","Almond Butter",,,,,,,
"rice-crisps","Rice Crisps (Puffed Rice)",,,,,,,
"dried-blueberry","Dried Blueberries (Unsweetened)",,,,,,,
"dried-blueberry-sweetened","Dried Blueberries (Sweetened)",,,,,,,
"orange-juice","Orange Juice (Fresh)",,,,,,,
"instant-coffee","Instant Coffee (Powder)",,,,,,,
"salt","Salt",,,,,,,
"baking-soda","Baking Soda",,,,,,,
"lemon-juice","Lemon Juice",,,,,,,
